domain,item_id,item_name,sub_type,base_price,current_price,competitor_price,price_ratio,total_capacity,inventory_remaining,inventory_ratio,occupancy_rate,days_remaining,is_weekend,season,season_multiplier,special_event,event_multiplier,customer_segment,price_sensitivity,purchase_frequency,conversion_rate,booking_velocity,demand_score,units_booked
flight,FLT-05,AeroIndia AI-801,BOM -> GOA,4200.0,4360.0,4680.0,1.073,150,80,0.533,0.464,30,1,Standard,1.0,Weekend,1.15,Leisure Flyer,1.14,2.4,0.375,1.5,46.79,0
flight,FLT-06,SkyWings 6E-204,DEL -> BOM,5500.0,6150.0,10260.0,1.668,180,46,0.256,0.747,4,1,Vacation Peak,1.3,Weekend,1.15,Corporate Traveler,0.21,10.2,0.776,8.5,100.0,12
flight,FLT-07,JetExpress 9W-110,HYD -> MAA,3600.0,4580.0,4630.0,1.011,140,12,0.086,0.913,1,0,Standard,1.0,Normal Day,1.0,Student Traveler,1.37,0.6,0.528,7.5,71.43,7
flight,FLT-08,SkyWings 6E-204,DEL -> BOM,5500.0,6510.0,6110.0,0.939,180,49,0.272,0.728,5,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.25,4.9,0.59,8.5,72.42,11
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,4470.0,10940.0,2.447,140,10,0.071,0.928,3,1,Festival Surge,1.45,Holiday,1.35,Leisure Flyer,1.1,0.5,0.732,11.5,100.0,10
flight,FLT-02,SkyWings 6E-512,BLR -> DEL,6200.0,7280.0,10600.0,1.456,180,34,0.189,0.811,2,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.28,8.1,0.732,7.5,93.97,12
flight,FLT-03,AeroIndia AI-801,BOM -> GOA,4200.0,5380.0,6690.0,1.243,150,8,0.053,0.946,5,1,Standard,1.0,Weekend,1.15,Corporate Traveler,0.23,9.7,0.713,3.5,90.63,6
flight,FLT-04,SkyWings 6E-512,BLR -> DEL,6200.0,7000.0,17880.0,2.554,180,50,0.278,0.725,11,1,Festival Surge,1.45,Major Event,1.55,Student Traveler,1.4,0.4,0.717,19.5,100.0,29
flight,FLT-05,Vistara Line UK-821,MAA -> DEL,6400.0,7400.0,7570.0,1.023,160,37,0.231,0.768,9,1,Low Traffic,0.85,Weekend,1.15,Last-minute Rush,0.1,0.2,0.55,2.5,65.29,4
flight,FLT-06,JetExpress 9W-110,HYD -> MAA,3600.0,4220.0,5750.0,1.363,140,50,0.357,0.645,11,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.23,9.9,0.705,4.5,89.43,7
flight,FLT-07,AeroIndia AI-303,DEL -> DXB,14500.0,17130.0,17770.0,1.037,220,57,0.259,0.741,6,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.11,1.1,0.487,5.5,63.31,5
flight,FLT-08,JetExpress 9W-110,HYD -> MAA,3600.0,4330.0,10750.0,2.483,140,11,0.079,0.92,19,0,Festival Surge,1.45,Major Event,1.55,Last-minute Rush,0.16,2.2,0.779,6.5,100.0,11
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,4270.0,5970.0,1.398,140,24,0.171,0.826,4,1,Vacation Peak,1.3,Weekend,1.15,Corporate Traveler,0.3,11.6,0.772,9.5,100.0,14
flight,FLT-02,Vistara Line UK-821,MAA -> DEL,6400.0,6990.0,7690.0,1.1,160,69,0.431,0.568,24,1,Standard,1.0,Weekend,1.15,Student Traveler,1.44,3.1,0.425,3.5,56.5,4
flight,FLT-03,AeroIndia AI-801,BOM -> GOA,4200.0,5310.0,6640.0,1.25,150,11,0.073,0.925,2,0,Low Traffic,0.85,Holiday,1.35,Last-minute Rush,0.18,1.0,0.689,3.5,86.7,4
flight,FLT-04,AeroIndia AI-303,DEL -> DXB,14500.0,17840.0,21440.0,1.202,220,43,0.195,0.804,7,1,Standard,1.0,Weekend,1.15,Student Traveler,1.44,2.1,0.482,3.5,65.16,4
flight,FLT-05,AeroIndia AI-801,BOM -> GOA,4200.0,5050.0,4290.0,0.85,150,42,0.28,0.718,5,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.41,3.5,0.497,9.5,67.08,11
flight,FLT-06,SkyWings 6E-512,BLR -> DEL,6200.0,7440.0,9180.0,1.234,180,43,0.239,0.762,9,1,Standard,1.0,Weekend,1.15,Student Traveler,1.41,0.2,0.534,4.5,72.71,5
flight,FLT-07,JetExpress 9W-110,HYD -> MAA,3600.0,4030.0,9310.0,2.31,140,48,0.343,0.656,8,0,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.24,5.6,0.775,10.5,100.0,17
flight,FLT-08,JetExpress 9W-110,HYD -> MAA,3600.0,3980.0,4290.0,1.078,140,45,0.321,0.68,5,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.35,1.5,0.51,10.5,68.65,9
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,3710.0,4300.0,1.159,140,67,0.479,0.524,37,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.42,0.5,0.381,5.5,49.76,4
flight,FLT-02,SkyWings 6E-204,DEL -> BOM,5500.0,7110.0,17050.0,2.398,180,12,0.067,0.933,2,0,Festival Surge,1.45,Festival,1.5,Student Traveler,1.43,0.5,0.715,8.5,100.0,12
flight,FLT-03,AeroIndia AI-801,BOM -> GOA,4200.0,4750.0,5690.0,1.198,150,65,0.433,0.563,32,1,Vacation Peak,1.3,Weekend,1.15,Corporate Traveler,0.29,18.7,0.571,2.5,69.78,3
flight,FLT-04,SkyWings 6E-512,BLR -> DEL,6200.0,7430.0,15480.0,2.083,180,31,0.172,0.828,2,1,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.3,19.1,0.772,4.5,100.0,8
flight,FLT-05,SkyWings 6E-204,DEL -> BOM,5500.0,6300.0,6850.0,1.087,180,59,0.328,0.672,11,1,Standard,1.0,Weekend,1.15,Student Traveler,1.39,0.5,0.463,2.5,61.91,2
flight,FLT-06,AeroIndia AI-801,BOM -> GOA,4200.0,4900.0,11290.0,2.304,150,31,0.207,0.793,4,1,Vacation Peak,1.3,Festival,1.5,Last-minute Rush,0.16,3.0,0.779,9.5,100.0,14
flight,FLT-07,AeroIndia AI-801,BOM -> GOA,4200.0,4950.0,4040.0,0.816,150,46,0.307,0.692,17,0,Low Traffic,0.85,Normal Day,1.0,Leisure Flyer,1.08,0.3,0.342,2.5,41.44,2
flight,FLT-08,SkyWings 6E-512,BLR -> DEL,6200.0,7700.0,10380.0,1.348,180,4,0.022,0.98,4,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.18,7.4,0.762,10.5,97.7,4
flight,FLT-01,SkyWings 6E-204,DEL -> BOM,5500.0,6800.0,11060.0,1.626,180,17,0.094,0.904,11,1,Standard,1.0,Holiday,1.35,Last-minute Rush,0.26,1.8,0.774,6.5,100.0,11
flight,FLT-02,SkyWings 6E-204,DEL -> BOM,5500.0,5530.0,12850.0,2.324,180,90,0.5,0.5,40,0,Festival Surge,1.45,Holiday,1.35,Last-minute Rush,0.16,0.8,0.779,6.5,100.0,10
flight,FLT-03,Vistara Line UK-992,DEL -> BLR,6800.0,8260.0,12200.0,1.477,160,13,0.081,0.92,3,1,Standard,1.0,Holiday,1.35,Corporate Traveler,0.28,17.0,0.773,5.5,100.0,11
flight,FLT-04,JetExpress 9W-110,HYD -> MAA,3600.0,4380.0,4160.0,0.95,140,34,0.243,0.754,3,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.36,0.2,0.456,7.5,60.57,5
flight,FLT-05,Vistara Line UK-821,MAA -> DEL,6400.0,7740.0,7350.0,0.95,160,25,0.156,0.845,4,0,Standard,1.0,Normal Day,1.0,Last-minute Rush,0.12,0.7,0.586,7.5,70.85,8
flight,FLT-06,SkyWings 6E-512,BLR -> DEL,6200.0,6870.0,6070.0,0.884,180,34,0.189,0.811,9,0,Low Traffic,0.85,Normal Day,1.0,Corporate Traveler,0.26,7.1,0.567,1.5,68.96,2
flight,FLT-07,JetExpress 9W-110,HYD -> MAA,3600.0,3960.0,3680.0,0.929,140,46,0.329,0.675,7,0,Low Traffic,0.85,Normal Day,1.0,Last-minute Rush,0.1,3.1,0.512,1.5,59.51,2
flight,FLT-08,AeroIndia AI-303,DEL -> DXB,14500.0,19540.0,18160.0,0.929,220,13,0.059,0.942,2,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.12,0.5,0.553,7.5,73.38,11
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,4610.0,9430.0,2.046,140,3,0.021,0.98,3,0,Festival Surge,1.45,Festival,1.5,Corporate Traveler,0.17,4.1,0.778,9.5,100.0,3
flight,FLT-02,SkyWings 6E-512,BLR -> DEL,6200.0,8060.0,8390.0,1.041,180,4,0.022,0.98,8,1,Low Traffic,0.85,Weekend,1.15,Leisure Flyer,1.12,0.0,0.516,1.5,67.78,2
flight,FLT-03,Vistara Line UK-992,DEL -> BLR,6800.0,7860.0,7540.0,0.959,160,29,0.181,0.819,17,0,Standard,1.0,Normal Day,1.0,Student Traveler,1.38,0.6,0.402,1.5,52.62,2
flight,FLT-04,Vistara Line UK-992,DEL -> BLR,6800.0,8520.0,20060.0,2.354,160,18,0.113,0.885,4,0,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.24,5.3,0.775,5.5,100.0,6
flight,FLT-05,JetExpress 9W-110,HYD -> MAA,3600.0,4010.0,4740.0,1.182,140,42,0.3,0.703,17,1,Standard,1.0,Weekend,1.15,Leisure Flyer,1.07,0.2,0.484,1.5,62.69,2
flight,FLT-06,AeroIndia AI-801,BOM -> GOA,4200.0,4820.0,3900.0,0.809,150,56,0.373,0.63,19,0,Low Traffic,0.85,Normal Day,1.0,Student Traveler,1.42,2.9,0.332,2.5,42.5,3
flight,FLT-07,SkyWings 6E-204,DEL -> BOM,5500.0,5510.0,5070.0,0.92,180,91,0.506,0.493,29,1,Low Traffic,0.85,Weekend,1.15,Leisure Flyer,1.1,0.3,0.333,1.5,40.13,1
flight,FLT-08,Vistara Line UK-992,DEL -> BLR,6800.0,9000.0,21770.0,2.419,160,3,0.019,0.98,2,0,Festival Surge,1.45,Major Event,1.55,Leisure Flyer,1.05,1.1,0.734,6.5,100.0,3
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,3830.0,4950.0,1.292,140,64,0.457,0.543,32,0,Vacation Peak,1.3,Normal Day,1.0,Leisure Flyer,1.12,3.8,0.449,2.5,57.82,3
flight,FLT-02,SkyWings 6E-512,BLR -> DEL,6200.0,7550.0,6380.0,0.845,180,52,0.289,0.711,4,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.25,4.7,0.595,8.5,73.07,11
flight,FLT-03,SkyWings 6E-204,DEL -> BOM,5500.0,7420.0,8630.0,1.163,180,28,0.156,0.843,2,0,Vacation Peak,1.3,Normal Day,1.0,Leisure Flyer,1.14,0.1,0.542,5.5,71.92,6
flight,FLT-04,JetExpress 9W-110,HYD -> MAA,3600.0,4320.0,4490.0,1.039,140,36,0.257,0.741,5,0,Standard,1.0,Normal Day,1.0,Student Traveler,1.39,2.5,0.52,7.5,70.38,8
flight,FLT-05,SkyWings 6E-512,BLR -> DEL,6200.0,6780.0,15200.0,2.242,180,50,0.278,0.721,8,1,Festival Surge,1.45,Holiday,1.35,Last-minute Rush,0.12,0.1,0.781,2.5,100.0,2
flight,FLT-06,SkyWings 6E-512,BLR -> DEL,6200.0,7160.0,7410.0,1.035,180,62,0.344,0.654,11,0,Low Traffic,0.85,Holiday,1.35,Corporate Traveler,0.24,4.5,0.61,4.5,75.36,7
flight,FLT-07,SkyWings 6E-204,DEL -> BOM,5500.0,5520.0,5660.0,1.025,180,109,0.606,0.394,30,1,Low Traffic,0.85,Weekend,1.15,Corporate Traveler,0.25,7.8,0.477,4.5,55.45,4
flight,FLT-08,AeroIndia AI-801,BOM -> GOA,4200.0,5290.0,6720.0,1.27,150,16,0.107,0.896,7,0,Standard,1.0,Holiday,1.35,Corporate Traveler,0.19,9.7,0.682,5.5,85.69,8
flight,FLT-01,JetExpress 9W-110,HYD -> MAA,3600.0,4250.0,4010.0,0.944,140,50,0.357,0.644,27,0,Low Traffic,0.85,Normal Day,1.0,Corporate Traveler,0.28,16.2,0.55,7.5,66.6,10
flight,FLT-02,SkyWings 6E-204,DEL -> BOM,5500.0,6760.0,10880.0,1.609,180,47,0.261,0.738,13,0,Vacation Peak,1.3,Holiday,1.35,Corporate Traveler,0.22,4.6,0.776,8.5,100.0,16
flight,FLT-03,AeroIndia AI-801,BOM -> GOA,4200.0,4500.0,5730.0,1.273,150,50,0.333,0.668,11,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.27,6.2,0.641,1.5,80.17,1
flight,FLT-04,SkyWings 6E-204,DEL -> BOM,5500.0,6120.0,5650.0,0.923,180,47,0.261,0.738,20,1,Low Traffic,0.85,Weekend,1.15,Student Traveler,1.37,0.9,0.428,5.5,56.52,8
flight,FLT-05,JetExpress 9W-110,HYD -> MAA,3600.0,3980.0,4060.0,1.02,140,48,0.343,0.661,16,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.27,13.4,0.603,8.5,74.5,10
flight,FLT-06,SkyWings 6E-512,BLR -> DEL,6200.0,6640.0,7640.0,1.151,180,85,0.472,0.527,20,1,Standard,1.0,Weekend,1.15,Corporate Traveler,0.16,10.5,0.593,2.5,72.09,4
flight,FLT-07,AeroIndia AI-801,BOM -> GOA,4200.0,4990.0,4220.0,0.846,150,47,0.313,0.689,10,0,Low Traffic,0.85,Normal Day,1.0,Last-minute Rush,0.12,1.1,0.49,2.5,56.33,4
flight,FLT-08,AeroIndia AI-303,DEL -> DXB,14500.0,16700.0,18910.0,1.132,220,79,0.359,0.639,18,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.25,5.8,0.552,4.5,66.63,4
flight,FLT-01,JetExpress 9W-445,BOM -> CCU,5800.0,7000.0,8530.0,1.219,180,44,0.244,0.753,10,1,Standard,1.0,Weekend,1.15,Corporate Traveler,0.19,8.8,0.61,3.5,74.95,4
flight,FLT-02,JetExpress 9W-110,HYD -> MAA,3600.0,4230.0,5480.0,1.296,140,49,0.35,0.653,9,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.23,7.5,0.658,3.5,82.49,6
flight,FLT-03,Vistara Line UK-992,DEL -> BLR,6800.0,8950.0,18440.0,2.06,160,4,0.025,0.977,3,1,Festival Surge,1.45,Festival,1.5,Last-minute Rush,0.2,1.1,0.777,12.5,100.0,4
flight,FLT-04,AeroIndia AI-303,DEL -> DXB,14500.0,15530.0,32060.0,2.064,220,104,0.473,0.528,21,0,Vacation Peak,1.3,Major Event,1.55,Corporate Traveler,0.24,6.0,0.775,9.5,100.0,14
flight,FLT-05,SkyWings 6E-204,DEL -> BOM,5500.0,6650.0,9860.0,1.483,180,21,0.117,0.882,1,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.2,10.7,0.777,4.5,100.0,9
flight,FLT-06,AeroIndia AI-801,BOM -> GOA,4200.0,4610.0,10570.0,2.293,150,34,0.227,0.773,10,0,Festival Surge,1.45,Major Event,1.55,Leisure Flyer,1.0,0.3,0.737,12.5,100.0,19
flight,FLT-07,Vistara Line UK-821,MAA -> DEL,6400.0,6880.0,16460.0,2.392,160,50,0.312,0.687,21,1,Festival Surge,1.45,Holiday,1.35,Corporate Traveler,0.26,5.2,0.774,8.5,100.0,14
flight,FLT-08,AeroIndia AI-801,BOM -> GOA,4200.0,4830.0,4780.0,0.99,150,53,0.353,0.65,19,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.11,0.5,0.391,0.5,48.98,1
flight,FLT-01,Vistara Line UK-992,DEL -> BLR,6800.0,8360.0,7480.0,0.895,160,23,0.144,0.856,2,0,Low Traffic,0.85,Normal Day,1.0,Student Traveler,1.38,3.0,0.475,8.5,63.63,7
flight,FLT-02,Vistara Line UK-821,MAA -> DEL,6400.0,8080.0,18390.0,2.276,160,18,0.113,0.89,5,1,Festival Surge,1.45,Holiday,1.35,Student Traveler,1.38,1.0,0.718,7.5,100.0,11
flight,FLT-03,SkyWings 6E-512,BLR -> DEL,6200.0,8530.0,10400.0,1.219,180,4,0.022,0.98,3,0,Standard,1.0,Holiday,1.35,Student Traveler,1.37,1.2,0.609,3.5,83.56,4
flight,FLT-04,AeroIndia AI-801,BOM -> GOA,4200.0,4480.0,4220.0,0.942,150,55,0.367,0.634,30,0,Low Traffic,0.85,Normal Day,1.0,Last-minute Rush,0.17,0.8,0.417,5.5,45.87,4
flight,FLT-05,SkyWings 6E-204,DEL -> BOM,5500.0,6300.0,7150.0,1.135,180,72,0.4,0.6,29,0,Vacation Peak,1.3,Normal Day,1.0,Last-minute Rush,0.17,0.1,0.557,3.5,66.78,3
flight,FLT-06,JetExpress 9W-445,BOM -> CCU,5800.0,6640.0,7170.0,1.08,180,43,0.239,0.763,9,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.15,1.6,0.47,3.5,61.13,3
flight,FLT-07,Vistara Line UK-821,MAA -> DEL,6400.0,7540.0,6480.0,0.859,160,23,0.144,0.853,4,1,Low Traffic,0.85,Weekend,1.15,Corporate Traveler,0.28,6.5,0.619,8.5,76.94,12
flight,FLT-08,JetExpress 9W-445,BOM -> CCU,5800.0,6360.0,14770.0,2.322,180,79,0.439,0.562,21,1,Festival Surge,1.45,Festival,1.5,Leisure Flyer,1.15,0.9,0.729,8.5,100.0,12
flight,FLT-01,AeroIndia AI-801,BOM -> GOA,4200.0,4930.0,5110.0,1.037,150,32,0.213,0.787,6,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.27,4.0,0.669,3.5,84.33,5
flight,FLT-02,AeroIndia AI-303,DEL -> DXB,14500.0,15980.0,20930.0,1.31,220,85,0.386,0.612,12,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.18,4.6,0.63,3.5,77.89,5
flight,FLT-03,JetExpress 9W-445,BOM -> CCU,5800.0,6980.0,7570.0,1.085,180,25,0.139,0.863,16,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.29,9.4,0.559,2.5,68.05,3
flight,FLT-04,AeroIndia AI-303,DEL -> DXB,14500.0,17200.0,23280.0,1.353,220,56,0.255,0.744,14,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.27,4.5,0.674,3.5,85.2,5
flight,FLT-05,JetExpress 9W-110,HYD -> MAA,3600.0,4450.0,8270.0,1.858,140,42,0.3,0.7,6,1,Vacation Peak,1.3,Major Event,1.55,Leisure Flyer,1.1,2.8,0.732,6.5,100.0,12
flight,FLT-06,Vistara Line UK-821,MAA -> DEL,6400.0,6610.0,6920.0,1.047,160,93,0.581,0.421,16,1,Low Traffic,0.85,Weekend,1.15,Leisure Flyer,1.11,0.7,0.368,2.5,45.57,2
flight,FLT-07,SkyWings 6E-512,BLR -> DEL,6200.0,7890.0,12920.0,1.638,180,4,0.022,0.98,2,1,Standard,1.0,Major Event,1.55,Corporate Traveler,0.3,3.7,0.772,10.5,100.0,4
flight,FLT-08,SkyWings 6E-204,DEL -> BOM,5500.0,6620.0,8820.0,1.332,180,53,0.294,0.706,19,1,Vacation Peak,1.3,Weekend,1.15,Leisure Flyer,1.15,2.4,0.5,1.5,65.57,2
flight,FLT-01,SkyWings 6E-204,DEL -> BOM,5500.0,6150.0,6150.0,1.0,180,44,0.244,0.755,4,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.19,16.0,0.584,1.5,70.99,1
flight,FLT-02,AeroIndia AI-801,BOM -> GOA,4200.0,4900.0,4310.0,0.88,150,38,0.253,0.75,4,0,Low Traffic,0.85,Normal Day,1.0,Leisure Flyer,1.09,0.8,0.495,7.5,64.41,6
flight,FLT-03,JetExpress 9W-445,BOM -> CCU,5800.0,6950.0,5760.0,0.829,180,32,0.178,0.822,2,0,Low Traffic,0.85,Normal Day,1.0,Corporate Traveler,0.22,5.0,0.582,5.5,70.97,9
flight,FLT-04,JetExpress 9W-110,HYD -> MAA,3600.0,4390.0,5510.0,1.255,140,49,0.35,0.647,16,0,Vacation Peak,1.3,Normal Day,1.0,Leisure Flyer,1.15,0.2,0.56,5.5,74.65,7
flight,FLT-05,Vistara Line UK-821,MAA -> DEL,6400.0,7420.0,8040.0,1.084,160,47,0.294,0.707,15,1,Standard,1.0,Weekend,1.15,Corporate Traveler,0.21,8.8,0.597,4.5,73.18,6
flight,FLT-06,JetExpress 9W-445,BOM -> CCU,5800.0,7330.0,6930.0,0.945,180,15,0.083,0.917,5,1,Standard,1.0,Weekend,1.15,Last-minute Rush,0.16,1.7,0.637,8.5,78.8,12
flight,FLT-07,SkyWings 6E-512,BLR -> DEL,6200.0,7290.0,9070.0,1.244,180,71,0.394,0.604,30,0,Low Traffic,0.85,Festival,1.5,Corporate Traveler,0.21,13.0,0.639,2.5,79.39,3
flight,FLT-08,AeroIndia AI-303,DEL -> DXB,14500.0,17730.0,17110.0,0.965,220,38,0.173,0.826,1,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.05,0.9,0.587,11.5,77.89,13
flight,FLT-01,AeroIndia AI-303,DEL -> DXB,14500.0,14580.0,15750.0,1.08,220,98,0.445,0.556,44,1,Low Traffic,0.85,Weekend,1.15,Corporate Traveler,0.28,3.1,0.445,4.5,50.88,4
flight,FLT-02,Vistara Line UK-992,DEL -> BLR,6800.0,8690.0,18950.0,2.181,160,23,0.144,0.854,15,1,Festival Surge,1.45,Major Event,1.55,Corporate Traveler,0.26,2.5,0.774,5.5,100.0,11
flight,FLT-03,SkyWings 6E-204,DEL -> BOM,5500.0,5940.0,10050.0,1.692,180,74,0.411,0.589,25,1,Vacation Peak,1.3,Weekend,1.15,Corporate Traveler,0.23,9.5,0.697,3.5,88.29,4
flight,FLT-04,Vistara Line UK-821,MAA -> DEL,6400.0,7090.0,8190.0,1.155,160,75,0.469,0.533,36,1,Standard,1.0,Weekend,1.15,Last-minute Rush,0.18,1.5,0.557,3.5,66.93,5
flight,FLT-05,SkyWings 6E-512,BLR -> DEL,6200.0,7400.0,15000.0,2.027,180,29,0.161,0.837,5,0,Festival Surge,1.45,Holiday,1.35,Corporate Traveler,0.29,14.8,0.772,7.5,100.0,13
flight,FLT-06,SkyWings 6E-204,DEL -> BOM,5500.0,6000.0,6030.0,1.005,180,69,0.383,0.616,29,0,Standard,1.0,Normal Day,1.0,Corporate Traveler,0.27,3.6,0.482,4.5,56.35,5
flight,FLT-07,SkyWings 6E-512,BLR -> DEL,6200.0,7780.0,10350.0,1.33,180,33,0.183,0.818,12,0,Vacation Peak,1.3,Normal Day,1.0,Corporate Traveler,0.26,9.8,0.658,1.5,82.59,2
flight,FLT-08,Vistara Line UK-821,MAA -> DEL,6400.0,8240.0,7410.0,0.899,160,3,0.019,0.98,9,0,Low Traffic,0.85,Normal Day,1.0,Last-minute Rush,0.14,2.1,0.57,3.5,68.57,3
flight,FLT-01,AeroIndia AI-801,BOM -> GOA,4200.0,5130.0,6220.0,1.212,150,24,0.16,0.842,4,0,Standard,1.0,Normal Day,1.0,Student Traveler,1.44,1.4,0.562,7.5,77.09,7
flight,FLT-02,JetExpress 9W-110,HYD -> MAA,3600.0,4500.0,6960.0,1.547,140,26,0.186,0.814,27,1,Vacation Peak,1.3,Weekend,1.15,Leisure Flyer,1.12,1.1,0.607,1.5,81.52,2
flight,FLT-03,AeroIndia AI-303,DEL -> DXB,14500.0,16460.0,18410.0,1.118,220,94,0.427,0.571,11,1,Standard,1.0,Weekend,1.15,Leisure Flyer,1.07,0.2,0.504,2.5,65.56,3
flight,FLT-04,SkyWings 6E-512,BLR -> DEL,6200.0,7900.0,8030.0,1.016,180,45,0.25,0.75,6,0,Standard,1.0,Normal Day,1.0,Leisure Flyer,1.14,0.6,0.495,8.5,64.85,9
flight,FLT-05,SkyWings 6E-512,BLR -> DEL,6200.0,7710.0,17290.0,2.243,180,33,0.183,0.816,5,1,Festival Surge,1.45,Festival,1.5,Last-minute Rush,0.06,1.4,0.784,6.5,100.0,10
flight,FLT-06,Vistara Line UK-992,DEL -> BLR,6800.0,8730.0,8090.0,0.927,160,27,0.169,0.831,3,0,Low Traffic,0.85,Normal Day,1.0,Last-minute Rush,0.16,1.1,0.62,6.5,76.18,5
flight,FLT-07,AeroIndia AI-303,DEL -> DXB,14500.0,16960.0,16400.0,0.967,220,77,0.35,0.648,2,0,Low Traffic,0.85,Normal Day,1.0,Leisure Flyer,1.17,3.7,0.479,8.5,62.65,7
flight,FLT-08,SkyWings 6E-204,DEL -> BOM,5500.0,6790.0,14760.0,2.174,180,32,0.178,0.822,21,0,Festival Surge,1.45,Major Event,1.55,Leisure Flyer,1.12,0.5,0.731,8.5,100.0,12
